type:Credit,dateTime:2025-12-31,amount:0.04268252204342285,balanceAfter:25.170296305671393,description:Monthly Interest,transactor:Bank,senderIban:GR200000000000000000,receiverIban:GR100202503111546007
type:Statement,dateTime:2025-12-31,amount:0.04268252204342285,balanceAfter:9999985.493952205,description:Interest Paid0.04268252204342285,transactor:Bank,senderIban:GR200000000000000000,receiverIban:None
type:Credit,dateTime:2025-12-31,amount:1.0673362192266491,balanceAfter:629.418497538141,description:Monthly Interest,transactor:Bank,senderIban:GR200000000000000000,receiverIban:GR100202503111546006
type:Statement,dateTime:2025-12-31,amount:1.0673362192266491,balanceAfter:9999985.536634728,description:Interest Paid1.0673362192266491,transactor:Bank,senderIban:GR200000000000000000,receiverIban:None
type:Credit,dateTime:2025-12-31,amount:0.09274058389594916,balanceAfter:54.69001981296279,description:Monthly Interest,transactor:Bank,senderIban:GR200000000000000000,receiverIban:GR100202503111546005
type:Statement,dateTime:2025-12-31,amount:0.09274058389594916,balanceAfter:9999986.603970947,description:Interest Paid0.09274058389594916,transactor:Bank,senderIban:GR200000000000000000,receiverIban:None
type:Credit,dateTime:2025-12-31,amount:2.9741181359857043,balanceAfter:1753.8662465791824,description:Monthly Interest,transactor:Bank,senderIban:GR200000000000000000,receiverIban:GR100202503111546004
type:Statement,dateTime:2025-12-31,amount:2.9741181359857043,balanceAfter:9999986.69671153,description:Interest Paid2.9741181359857043,transactor:Bank,senderIban:GR200000000000000000,receiverIban:None
type:Credit,dateTime:2025-12-31,amount:5.207267689297588,balanceAfter:3070.7761492919094,description:Monthly Interest,transactor:Bank,senderIban:GR200000000000000000,receiverIban:GR100202503111546003
type:Statement,dateTime:2025-12-31,amount:5.207267689297588,balanceAfter:9999989.670829667,description:Interest Paid5.207267689297588,transactor:Bank,senderIban:GR200000000000000000,receiverIban:None
type:Credit,dateTime:2025-12-31,amount:3.4146017634738275,balanceAfter:2013.6237044537108,description:Monthly Interest,transactor:Bank,senderIban:GR200000000000000000,receiverIban:GR100202503111546002
type:Statement,dateTime:2025-12-31,amount:3.4146017634738275,balanceAfter:9999994.878097355,description:Interest Paid3.4146017634738275,transactor:Bank,senderIban:GR200000000000000000,receiverIban:None
type:Credit,dateTime:2025-12-31,amount:1.7073008817369137,balanceAfter:1006.8118522268554,description:Monthly Interest,transactor:Bank,senderIban:GR200000000000000000,receiverIban:GR100202503111546001
type:Statement,dateTime:2025-12-31,amount:1.7073008817369137,balanceAfter:9999998.29269912,description:Interest Paid1.7073008817369137,transactor:Bank,senderIban:GR200000000000000000,receiverIban:None
